#{"t_start": 1751109197.9007502, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-9.5,102,2572.360198
-17.2,82,2572.712256
-8.3,105,2572.852881
-28.8,53,2572.947626
9.7,150,2573.398421
-24.5,64,2607.416426
-16.9,83,2607.669748
41.9,105,2608.082644
-17.2,82,2608.28211
2.8,132,2608.592282
-60.9,98,2644.679751
-21.3,72,2644.837329
-0.5,124,2645.252219
-55.2,112,2645.49856
-27.3,57,2645.621233
0.1,126,2677.107011
-18.2,80,2678.443435
18.8,47,2679.382923
25.4,64,2680.27753
19.6,49,2680.96569
-20.9,73,2682.141544
-22.4,69,2683.311415
-28.8,53,2684.180092
28.3,71,2711.798216
-1.5,122,2713.855712
-28.7,54,2715.070463
-28.6,54,2716.081758
3.1,133,2718.243974
-22.2,70,2719.340042
17.8,45,2720.186777
-33.7,41,2753.090762
-21.3,72,2754.547865
-46.5,134,2756.80383
-10.2,100,2758.341716
-45.3,137,2760.544823
-24.6,64,2790.060871
-49.8,126,2793.119689
14.2,36,2794.066157
25.5,189,2798.785533
-25.7,61,2800.289511
-23.5,67,2840.316442
-19.8,76,2841.537177
-64.1,90,2843.30445
-28.6,54,2844.127249
22.8,57,2845.157492
12.0,30,2845.779828
-11.7,96,2847.561063
-9.4,102,2886.353298
-17.2,82,2887.760535
21.0,53,2888.762853
-58.4,104,2890.670749
-20.1,75,2892.196668
-21.2,72,2893.38449
-9.1,103,2939.04236
6.6,142,2942.661679
22.7,57,2943.857481
-18.3,80,2946.063579
-16.8,83,2947.816889
24.7,62,2949.077518
45.4,114,2989.741744
4.8,137,2992.379688
-11.5,97,2993.724092
-21.0,73,2994.972752
-8.6,104,2996.6742
18.7,47,3035.013647
-34.2,40,3035.795555
5.9,140,3038.192145
-17.3,82,3039.509621
-8.7,104,3041.507278
-9.0,103,3043.013249
18.3,171,3079.68715
10.8,27,3080.223716
28.1,71,3081.707746
13.1,33,3082.724026
-13.2,92,3085.020882
-8.0,105,3087.656832
-10.7,99,3145.68561
10.3,26,3146.25808
-25.6,61,3147.340185
27.2,68,3148.547954
-25.1,63,3149.819552
-30.4,49,3151.030314
27.0,193,3187.356146
-22.6,69,3188.529008
-21.5,72,3189.843493
10.6,27,3190.334181
-17.7,81,3191.700525
-70.1,75,3193.23542
-11.9,96,3194.680554
-17.4,82,3252.681408
-17.1,83,3254.212313
-21.9,71,3255.358247
-25.2,62,3256.346603
-65.5,87,3257.893466
-22.8,68,3258.883817
-22.6,69,3259.821309
5.1,138,3302.937977
-25.8,61,3304.238497
29.4,74,3305.793338
-1.3,122,3308.975825
-18.4,79,3310.842832
-18.4,79,3353.001064
1.2,128,3354.911951
-21.1,73,3356.047912
37.4,219,3359.8657
-29.1,53,3360.727395
-22.1,70,3414.839651
13.6,34,3415.514844
-26.4,59,3416.430396
-19.1,78,3417.841621
-11.1,98,3419.573987
-28.8,53,3420.617196
-21.8,71,3421.738197
-61.0,98,3456.139179
-8.4,104,3458.101928
-22.5,69,3459.886156
-20.5,74,3461.90775
-33.9,41,3462.812329
-14.9,88,3464.583592
-21.9,71,3496.532131
-16.1,85,3497.577336
33.5,209,3501.217599
-17.3,82,3502.737532
-22.0,70,3503.721899
26.8,67,3563.135973
-26.1,60,3564.428515
-12.3,95,3566.064141
-32.4,44,3566.9767
-22.4,69,3568.166517
-0.4,124,3570.253933
-28.6,54,3571.091692
-8.8,103,3620.322006
12.6,32,3620.810699
-25.9,61,3621.851914
35.2,88,3623.342926
27.4,69,3624.47789
-9.4,102,3626.379802
19.3,49,3627.119823
