Episodio,Puntaje
1089,[391.]
1090,[1106.]
1091,[189.]
1092,[336.]
1093,[448.]
1094,[139.]
1095,[1106.]
1096,[146.]
1097,[699.]
1098,[163.]
1099,[191.]
1100,[1106.]
1101,[522.]
1102,[1106.]
1103,[251.]
1104,[243.]
1105,[103.]
1106,[1106.]
1107,[1155.]
1108,[1106.]
1109,[1106.]
1110,[1106.]
1111,[267.]
1112,[1052.]
1113,[256.]
1114,[266.]
1115,[1106.]
1116,[231.]
1117,[158.]
1118,[1106.]
1119,[434.]
1120,[116.]
1121,[1106.]
1122,[1106.]
1123,[1106.]
1124,[1106.]
1125,[1106.]
1126,[444.]
1127,[187.]
1128,[1106.]
1129,[134.]
1130,[411.]
1131,[156.]
1132,[1106.]
1133,[175.]
1134,[1106.]
1135,[194.]
1136,[163.]
1137,[1106.]
1138,[1106.]
1139,[1106.]
1140,[178.]
1141,[602.]
1142,[1106.]
1143,[1106.]
1144,[209.]
1145,[1106.]
1146,[75.]
1147,[1106.]
1148,[1106.]
1149,[1106.]
1150,[1106.]
1151,[1106.]
1152,[621.]
1153,[587.]
1154,[1106.]
1155,[1106.]
1156,[296.]
1157,[1106.]
1158,[1106.]
1159,[1106.]
1160,[273.]
1161,[678.]
1162,[1106.]
1163,[551.]
1164,[1106.]
1165,[245.]
1166,[1106.]
1167,[1106.]
1168,[652.]
1169,[300.]
1170,[1106.]
1171,[334.]
1172,[1106.]
1173,[529.]
1174,[1106.]
1175,[497.]
1176,[368.]
1177,[1106.]
1178,[1106.]
1179,[323.]
1180,[1106.]
1181,[581.]
1182,[1106.]
1183,[1106.]
1184,[1106.]
1185,[1106.]
1186,[156.]
1187,[1106.]
1188,[226.]
1189,[370.]
1190,[290.]
1191,[1106.]
1192,[1106.]
1193,[470.]
1194,[1106.]
1195,[193.]
1196,[1106.]
1197,[1106.]
1198,[1106.]
1199,[1106.]
1200,[1106.]
1201,[365.]
1202,[1106.]
1203,[151.]
1204,[478.]
1205,[143.]
1206,[308.]
1207,[342.]
1208,[300.]
1209,[1106.]
1210,[1106.]
1211,[603.]
1212,[1106.]
1213,[587.]
1214,[1106.]
1215,[533.]
1216,[459.]
1217,[314.]
1218,[1106.]
1219,[1106.]
1220,[1106.]
1221,[181.]
1222,[1106.]
1223,[336.]
1224,[1106.]
1225,[1106.]
1226,[1106.]
1227,[1106.]
1228,[223.]
1229,[1106.]
1230,[1106.]
1231,[1106.]
1232,[192.]
1233,[186.]
1234,[1106.]
1235,[1106.]
1236,[241.]
1237,[1106.]
1238,[1106.]
1239,[1106.]
1240,[1106.]
1241,[1106.]
1242,[345.]
1243,[470.]
1244,[118.]
1245,[1106.]
1246,[556.]
1247,[394.]
1248,[1106.]
1249,[1106.]
1250,[1106.]
1251,[211.]
1252,[1106.]
1253,[501.]
1254,[565.]
1255,[609.]
1256,[1106.]
1257,[1106.]
1258,[1106.]
1259,[1106.]
1260,[1106.]
1261,[1106.]
1262,[1106.]
1263,[1106.]
1264,[118.]
1265,[415.]
1266,[218.]
1267,[1106.]
1268,[1106.]
1269,[572.]
1270,[175.]
1271,[312.]
1272,[114.]
1273,[273.]
1274,[1106.]
1275,[1106.]
1276,[592.]
1277,[112.]
1278,[122.]
1279,[181.]
1280,[325.]
1281,[1106.]
1282,[1106.]
1283,[76.]
1284,[1106.]
1285,[459.]
1286,[363.]
1287,[576.]
1288,[514.]
1289,[1106.]
1290,[1106.]
1291,[507.]
1292,[390.]
1293,[642.]
1294,[160.]
1295,[310.]
1296,[1106.]
1297,[231.]
1298,[1106.]
1299,[1106.]
1300,[439.]
1301,[543.]
1302,[343.]
1303,[1106.]
1304,[331.]
1305,[207.]
1306,[1106.]
1307,[1106.]
1308,[1106.]
1309,[1106.]
1310,[499.]
1311,[369.]
1312,[321.]
1313,[1106.]
1314,[112.]
1315,[279.]
1316,[1106.]
1317,[1106.]
1318,[305.]
1319,[1106.]
1320,[1106.]
1321,[1106.]
1322,[98.]
1323,[445.]
1324,[1106.]
1325,[1106.]
1326,[140.]
1327,[1106.]
1328,[1106.]
1329,[364.]
1330,[417.]
1331,[102.]
1332,[115.]
1333,[157.]
1334,[1106.]
1335,[230.]
1336,[1106.]
1337,[1106.]
1338,[1106.]
1339,[1106.]
1340,[1106.]
1341,[349.]
1342,[287.]
1343,[451.]
1344,[1106.]
1345,[122.]
1346,[266.]
1347,[1106.]
1348,[156.]
1349,[1106.]
1350,[510.]
1351,[242.]
1352,[1106.]
1353,[1106.]
1354,[1106.]
1355,[1106.]
1356,[1106.]
1357,[1106.]
1358,[1106.]
1359,[1106.]
1360,[176.]
1361,[335.]
1362,[1106.]
1363,[776.]
1364,[1106.]
1365,[1106.]
1366,[483.]
1367,[490.]
1368,[1106.]
1369,[100.]
1370,[1106.]
1371,[1106.]
1372,[159.]
1373,[1106.]
1374,[394.]
1375,[190.]
1376,[1106.]
1377,[382.]
1378,[1106.]
1379,[1106.]
1380,[359.]
1381,[1106.]
1382,[255.]
1383,[212.]
1384,[196.]
1385,[483.]
1386,[314.]
1387,[490.]
1388,[291.]
1389,[87.]
1390,[1106.]
1391,[316.]
1392,[111.]
1393,[1106.]
1394,[168.]
1395,[310.]
1396,[432.]
1397,[352.]
1398,[1106.]
1399,[1106.]
1400,[538.]
1401,[1106.]
1402,[1106.]
1403,[376.]
1404,[1106.]
1405,[318.]
1406,[136.]
1407,[134.]
1408,[1106.]
1409,[1106.]
1410,[484.]
1411,[1106.]
1412,[384.]
1413,[422.]
1414,[122.]
1415,[1106.]
1416,[176.]
1417,[1106.]
1418,[1106.]
1419,[1106.]
1420,[1106.]
1421,[1106.]
1422,[1106.]
1423,[1106.]
1424,[1106.]
1425,[262.]
1426,[1106.]
1427,[788.]
1428,[169.]
1429,[294.]
1430,[247.]
1431,[1106.]
1432,[433.]
1433,[1106.]
1434,[282.]
1435,[1106.]
1436,[151.]
1437,[1106.]
1438,[1106.]
1439,[804.]
1440,[1106.]
1441,[1106.]
1442,[1106.]
1443,[1106.]
1444,[1106.]
1445,[116.]
1446,[1106.]
1447,[1106.]
1448,[1106.]
1449,[1106.]
1450,[526.]
