Episodio,Puntaje
746,[2263.]
747,[2361.]
748,[2370.]
749,[2390.]
750,[523.]
751,[1583.]
752,[499.]
753,[2399.]
754,[2023.]
755,[2404.]
756,[2399.]
757,[2397.]
758,[2437.]
759,[2399.]
760,[2390.]
761,[2368.]
762,[2243.]
763,[2365.]
764,[2414.]
765,[2076.]
766,[1746.]
767,[2007.]
768,[2386.]
769,[2106.]
770,[625.]
771,[1314.]
772,[2437.]
773,[2417.]
774,[2442.]
775,[2423.]
776,[2376.]
777,[2397.]
778,[2041.]
779,[2390.]
780,[1393.]
781,[1140.]
782,[2193.]
783,[2315.]
784,[1583.]
785,[2442.]
786,[2390.]
787,[2498.]
788,[2399.]
789,[1910.]
790,[2435.]
791,[2101.]
792,[1661.]
793,[2399.]
794,[2101.]
795,[2401.]
796,[1752.]
797,[697.]
798,[2395.]
799,[2437.]
800,[2399.]
801,[1319.]
802,[2429.]
803,[2270.]
804,[1147.]
805,[1495.]
806,[2390.]
807,[2348.]
808,[2399.]
809,[2390.]
810,[1116.]
811,[2428.]
812,[2380.]
813,[387.]
814,[2333.]
815,[2413.]
816,[2417.]
817,[2359.]
818,[2389.]
819,[511.]
820,[2376.]
821,[2284.]
822,[988.]
823,[1583.]
824,[2437.]
825,[2390.]
826,[2269.]
827,[410.]
828,[2420.]
829,[2098.]
830,[2494.]
831,[2100.]
832,[2397.]
833,[2399.]
834,[2399.]
835,[1083.]
836,[2376.]
837,[2399.]
838,[2230.]
839,[2207.]
840,[2399.]
841,[2401.]
842,[2416.]
843,[2106.]
844,[1959.]
845,[403.]
846,[2248.]
847,[2389.]
848,[2508.]
849,[2322.]
850,[1583.]
851,[2550.]
852,[2437.]
853,[1654.]
854,[2416.]
855,[1322.]
856,[2232.]
857,[1777.]
858,[2270.]
859,[2422.]
860,[2314.]
861,[1583.]
862,[2409.]
863,[1067.]
864,[1744.]
865,[2098.]
866,[2396.]
867,[2411.]
868,[2095.]
869,[906.]
870,[2425.]
871,[2234.]
872,[2416.]
873,[1732.]
874,[881.]
875,[2231.]
876,[443.]
877,[2452.]
878,[996.]
879,[1266.]
880,[2102.]
881,[2340.]
882,[1809.]
883,[1770.]
884,[1583.]
885,[2383.]
886,[2391.]
887,[2246.]
888,[2174.]
889,[2390.]
890,[722.]
891,[2442.]
892,[1583.]
893,[2399.]
894,[1390.]
895,[2084.]
896,[2104.]
897,[1203.]
898,[2270.]
899,[2390.]
900,[2368.]
901,[1583.]
902,[1085.]
903,[427.]
904,[2389.]
905,[2399.]
906,[2420.]
907,[307.]
908,[1583.]
909,[500.]
910,[1925.]
911,[2415.]
912,[2437.]
913,[1770.]
914,[2437.]
915,[2192.]
916,[2399.]
917,[2390.]
918,[953.]
919,[1729.]
920,[903.]
921,[2098.]
922,[2382.]
923,[1583.]
924,[2422.]
925,[1334.]
926,[2505.]
927,[307.]
928,[1683.]
929,[2423.]
930,[2396.]
931,[2487.]
932,[2510.]
933,[2238.]
934,[2403.]
935,[1626.]
936,[499.]
937,[2437.]
938,[2058.]
939,[2390.]
940,[2344.]
941,[2412.]
942,[1259.]
943,[2390.]
944,[2402.]
945,[1583.]
946,[2425.]
947,[2523.]
948,[2084.]
949,[2382.]
950,[2102.]
951,[307.]
952,[2443.]
953,[2109.]
954,[2390.]
955,[832.]
956,[2294.]
957,[2196.]
958,[2496.]
959,[2428.]
960,[1578.]
961,[2327.]
962,[2390.]
963,[960.]
964,[2387.]
965,[1230.]
966,[2343.]
967,[1627.]
968,[2395.]
969,[2449.]
970,[2335.]
971,[2399.]
972,[745.]
973,[2351.]
974,[1157.]
975,[1687.]
976,[2367.]
977,[2376.]
978,[2383.]
979,[2399.]
980,[443.]
981,[2239.]
982,[1578.]
983,[2432.]
984,[1777.]
985,[2346.]
986,[2279.]
987,[2401.]
988,[2428.]
989,[2437.]
990,[2193.]
991,[2416.]
992,[2376.]
993,[1045.]
994,[1957.]
995,[2046.]
996,[2390.]
997,[403.]
998,[2404.]
999,[1929.]
1000,[307.]
1001,[2567.]
1002,[803.]
1003,[2463.]
1004,[2416.]
1005,[728.]
1006,[2401.]
1007,[2436.]
1008,[2437.]
1009,[2398.]
